canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,pKi
Nc1cc(C2=NOC(Cn3cccn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl,CHEMBL267387,=,=,nM,1100.0,nM,1100.0,5.958607314841775
N=C(N)c1ccc(CCC(CC(=O)O)c2cccc(C(=N)N)c2)cc1,CHEMBL347586,=,=,nM,1400.0,nM,1400.0,5.853871964321762
Nc1noc2ccc(-n3nnnc3C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)cc12,CHEMBL442766,=,=,nM,0.98,nM,0.98,9.008773924307505
CCCS(=O)(=O)NC(CCc1cccc[n+]1[O-])C(=O)NCC(=O)NCc1cc(Cl)ccc1CN,CHEMBL231292,=,=,nM,3.4,nM,3.4,8.468521082957745
COc1ccc(C(=O)NCC2CCN(C(C)C)CC2)cc1OCCc1ccc(Cl)cc1Cl,CHEMBL94781,=,=,nM,650.0,nM,650.0,6.187086643357144
N=C(N)c1cccc(N2CCCCN(C3CCN(C(=O)c4ccccc4)CC3)C2=O)c1.O=C(O)C(F)(F)F,CHEMBL101586,=,=,nM,7800.0,nM,7800.0,5.107905397309519
CCOC(=O)CN(C(=O)c1ccc2c(c1)OC(OCc1ccc(C(=N)N)cc1)C(=O)N2C)c1ccccc1,CHEMBL461192,=,=,nM,43100.0,uM,43.1,4.3655227298392685
CN1CC(C)(COc2ccc(C(=N)N)cc2)Oc2cc(N(Cc3ccc(F)cc3)C(=O)C(=O)O)ccc21,CHEMBL1952402,=,=,nM,7700.0,uM,7.7,5.113509274827518
COC(=O)c1ccccc1CS(=O)(=O)N[C@H]1CCCCN(CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C1=O,CHEMBL1161499,=,=,nM,93.0,nM,93.0,7.031517051446065
CC(C)c1cc(S(=O)(=O)N[C@H](CO)C(=O)NCC(=O)NCc2ccc(C(=N)N)cc2)cc(C(C)C)c1C(C)C,CHEMBL157131,=,=,nM,100000.0,uM,100.0,4.0
CCOC(=O)C(=O)N(Cc1ccccc1)c1ccc2c(c1)O[C@H](COc1ccc(C(=N)N)cc1)CO2.O=C(O)C(F)(F)F,CHEMBL2337669,=,=,nM,637.0,uM,0.637,6.195860567664649
COc1ccc(-n2nc(C(F)(F)F)c3c2C(=O)N(c2ccc(C4(CN5CCOCC5)CC4)cc2)CC3)cc1,CHEMBL471565,=,=,nM,0.064,nM,0.064,10.193820026016112
Cc1nn(-c2ccc3onc(N)c3c2)c2c1CCN(c1ccc(-c3ccccc3CN3CCCC3)cc1)C2=O,CHEMBL379588,=,=,nM,0.31,nM,0.31,9.508638306165727
CC(C)(C(=O)N1CCCCC1)N1CCC(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,CHEMBL210019,=,=,nM,10600.0,nM,10600.0,4.97469413473523
C/C(=N\NC(=N)N)c1cc(NS(=O)(=O)c2ccccc2)cc(/C(C)=N/NC(=N)N)c1,CHEMBL1644912,=,=,nM,80000.0,uM,80.0,4.096910013008056
N=C(N)c1ccc(/C=C2\CC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1,CHEMBL150962,=,=,nM,4600.0,nM,4600.0,5.337242168318426
CC(C)(C)OC(=O)N[C@H](CO)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,CHEMBL440919,=,=,nM,140000.0,uM,140.0,3.853871964321762
Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(C#N)c1,CHEMBL179410,=,=,nM,0.52,nM,0.52,9.2839966563652
N=C(N)c1ccc2ccc(CN(CCc3ccc(F)cc3)C(=O)c3cccc4ccccc34)cc2c1,CHEMBL372847,=,=,nM,40.0,nM,40.0,7.3979400086720375
CCOc1cc([C@@H](Nc2ccc3c(N)nccc3c2)C(=O)N2CCC[C@@H]2c2cc(NC(=O)OC)ccc2S(=O)(=O)C(C)C)c(F)cc1F,CHEMBL3114835,=,=,nM,4500.0,nM,4500.0,5.346787486224656
N=C(N)c1ccc2[nH]cc(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)c2c1,CHEMBL136846,=,=,nM,2.1,nM,2.1,8.67778070526608
CS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,CHEMBL1221534,=,=,nM,15.0,uM,0.015,7.823908740944319
Cc1ccc2c3c(nn2c1)CC[C@](NC(=O)c1c(Cl)cc(-n2cnc(C)n2)cc1Cl)(c1cn(C(C)C)nn1)C3,CHEMBL3628953,=,=,nM,743.0,nM,743.0,6.129011186239425
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2ccccc2S(=O)(=O)C2CC2)ccc1OC(C)C,CHEMBL3114840,=,=,nM,3500.0,nM,3500.0,5.455931955649724
N=C(N)c1ccc(CNC(=O)[C@@H]2CC[C@H]3CN(S(=O)(=O)CC(c4ccccc4)c4ccccc4)CC(=O)N32)cc1,CHEMBL404833,=,=,nM,1.0,nM,1.0,9.0
Cc1cc(C(=O)Nc2ccc(N3CCOCC3=O)cc2F)n(-c2cc3ccccc3cc2F)n1,CHEMBL21125,=,=,nM,0.5,nM,0.5,9.301029995663981
CS(=O)(=O)N1CCC(Oc2ccc(NC/C=C/c3cc(C(=N)N)ccc3O)cc2C(F)(F)F)CC1,CHEMBL24287,=,=,nM,44.0,nM,44.0,7.356547323513812
CCOC(=O)C(=O)N(Cc1ccccc1)c1ccc2c(c1)O[C@@H](COc1ccc(C(=N)N)cc1)CO2.O=C(O)C(F)(F)F,CHEMBL2337670,=,=,nM,2700.0,uM,2.7,5.568636235841013
FC(F)CN1CCCCC1CCNc1nccc2oc(Cc3cc(Cl)ccc3-n3cncn3)nc12,CHEMBL370396,=,=,nM,4.7,nM,4.7,8.327902142064282
O=C(N[C@H]1CCCC[C@H]1NC(=O)c1ccc2c(Cl)c[nH]c2c1)c1ccc(N2CCCCC2=O)cc1,CHEMBL233755,=,=,nM,2.6,nM,2.6,8.585026652029182
O=C(CN1CC(NC(=O)c2ccc(Cl)s2)C(C2CC2)C1)Nc1ccc(-n2ccccc2=O)cc1F,CHEMBL549696,=,=,nM,43.0,nM,43.0,7.366531544420414
Nc1cc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)ccc1Cl,CHEMBL51413,=,=,nM,130.0,uM,0.13,6.886056647693163
CNC(=O)c1cc(Oc2cccc(C(=N)N)c2)nc(Oc2cccc(C(=N)N)c2)c1,CHEMBL48409,=,=,nM,60.0,nM,60.0,7.221848749616356
CC(C)(CNC(=O)c1ccc(-n2ccccc2=O)cc1)NC(=O)c1ccc(Cl)s1,CHEMBL234812,=,=,nM,3.2,nM,3.2,8.494850021680094
CN(C)CCN(C)C(=O)N(C1CCCN(c2ccc(-c3ccccc3S(C)(=O)=O)cc2F)C1=O)S(=O)(=O)c1ccc2cc(Cl)ccc2c1,CHEMBL256628,=,=,nM,0.84,nM,0.84,9.075720713938118
Cc1cccc2c1cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CHEMBL363753,=,=,nM,3.0,nM,3.0,8.522878745280337
CS(=O)(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL323101,=,=,nM,21978.6,,4.658,4.6579999748624346
CS(=O)(=O)Nc1ccc(Oc2cccc(C(=N)N)c2)nc1Oc1cccc(C(=N)N)c1,CHEMBL48595,=,=,nM,130.0,nM,130.0,6.886056647693163
COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)NC2CCN(c3ccccc3CN3CCOCC3)CC2)cc1,CHEMBL397310,=,=,nM,6.6,nM,6.6,8.18045606445813
COc1ccc2ccc(S(=O)(=O)NC3CCN(Cc4cc(C(=N)N)ccc4N)C3=O)cc2c1,CHEMBL86114,=,=,nM,6.31,,8.2,8.199970640755867
CNC(=O)CCCC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc(-c3ccc(OC)cc3OC)c2)CC1,CHEMBL3219086,=,=,nM,60.0,uM,0.06,7.221848749616356
CCC(C(=O)Nc1ccc(-n2cnc3ccccc32)cc1)c1csc2ccc(C(=N)N)cc12.O=C(O)C(F)(F)F,CHEMBL361520,=,=,nM,71.0,uM,0.071,7.1487416512809245
COc1ccc(-n2nc(C(F)(F)F)c3c2C(=O)N(c2ccc(C4(C(=O)N(C)C)CC4)cc2)CC3)cc1,CHEMBL452802,=,=,nM,5.8,nM,5.8,8.236572006437063
O=C(Nc1ccc(Cl)cc1)c1cc(Cl)ccc1NC(=O)c1scc(CN2CCSCC2)c1Cl,CHEMBL242957,=,=,nM,4.8,nM,4.8,8.318758762624412
O=C(OC1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,CHEMBL510512,=,=,nM,440.0,uM,0.44,6.356547323513812
CN1CCN(CCCN(Cc2ccc3ccc(C(=N)N)cc3c2)C(=O)c2cccc3ccccc23)CC1,CHEMBL371051,=,=,nM,136.0,nM,136.0,6.866461091629782
N=C(N)c1cc2c(OC(COC(=O)NCc3ccccc3)c3ccccc3)cccc2s1,CHEMBL605842,=,=,nM,830.0,uM,0.83,6.080921907623926
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(C4(CCN5CCOCC5)CC4)cc2)CC3)cc1,CHEMBL461454,=,=,nM,0.14,nM,0.14,9.853871964321762
N=C(N)c1ccc2[nH]c(-c3cc([N+](=O)[O-])ccc3O)nc2c1,CHEMBL92250,=,=,nM,7800.0,uM,7.8,5.107905397309519
COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCCO2)c1Cl,CHEMBL387856,=,=,nM,0.012,nM,0.012,10.920818753952375
O=C(Nc1ccc(Cl)cc1)c1cccc(O)c1NC(=O)c1sc2ccccc2c1Cl,CHEMBL146149,=,=,nM,18.0,nM,18.0,7.7447274948966935
O=C(N[C@H]1CN(C(=O)N2CCCC2)C[C@H]1NC(=O)c1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,CHEMBL442079,=,=,nM,1.7,nM,1.7,8.769551078621726
COc1ccc(O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,CHEMBL62255,=,=,nM,5200.0,uM,5.2,5.2839966563652006
N=C(N)c1ccc(CC(=O)C(=O)O)c(OC[C@@H](CC(=O)O)NC(=O)C2CCN(c3ccncc3)CC2)c1,CHEMBL301368,=,=,nM,18.0,uM,0.018,7.7447274948966935
CN1CC(C)(COc2ccc(C(=N)N)cc2)Oc2cc(N(CC(=O)O)Cc3cc(F)cc(F)c3)ccc21,CHEMBL1949836,=,=,nM,4000.0,uM,4.0,5.3979400086720375
CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccccc2CN)c(F)c1,CHEMBL146910,=,=,nM,0.46,nM,0.46,9.337242168318426
N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CCN3CCN(CCC(=O)Nc4ccc(cc4)C[C@@H](NC(=O)CCCc4ccccc4)C(=O)N2)CC3)cc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CHEMBL4466116,=,=,nM,11530.0,nM,11530.0,4.938170692705301
O=C(Nc1ccc(Cl)cc1)c1cc(Cl)ccc1NC(=O)c1scc(Cn2ncnn2)c1Cl,CHEMBL396805,=,=,nM,2.0,nM,2.0,8.698970004336019
CC(=O)Nc1ccc(C(=O)NCC2CCN(c3ccncc3)CC2)cc1OCCc1ccc(Cl)cc1Cl,CHEMBL318660,=,=,nM,316.0,nM,316.0,6.5003129173815966
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc([C@H]2CCCN2)cc1F,CHEMBL1614819,=,=,nM,2.0,nM,2.0,8.698970004336019
CS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cn2)C1,CHEMBL1221491,=,=,nM,40.0,uM,0.04,7.3979400086720375
CC(C)(C)NC(=O)NC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc(-c3ccc(C(=N)N)cc3)c2)CC1,CHEMBL5207279,=,=,nM,84.0,uM,0.084,7.075720713938118
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,CHEMBL175286,=,=,nM,2.0,nM,2.0,8.698970004336019
COc1cc(Cl)ccc1C(=O)N[C@@H]1CCC[C@@H]1NC(=O)c1ccc(-n2ccccc2=O)cc1,CHEMBL232923,=,=,nM,7420.0,nM,7420.0,5.129596094720973
Cc1cc(C(=O)Nc2ccc(-c3ccccc3)cc2)n(-c2cccc(C(=N)N)c2)n1,CHEMBL444074,=,=,nM,1.3,nM,1.3,8.886056647693163
N=C(N)c1cccc(Cn2c(C(=O)NCC34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)cc3c(O)cccc32)c1,CHEMBL329029,=,=,nM,274.0,nM,274.0,6.562249437179612
N=C(N)c1ccc2[nH]c(-c3cc(-c4nn[nH]n4)cc(Br)c3O)c(Cc3ccccc3)c2c1,CHEMBL53478,=,=,nM,10.0,uM,0.01,8.0
COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](CC(C)C)NC(=O)c1ccc(-c2cccc(CN)c2)cc1,CHEMBL44831,=,=,nM,0.4,nM,0.4,9.397940008672037
CC(C)c1cc(C(C)C)c(S(=O)(=O)NC(Cc2cccc(C(=N)N)c2)C(=O)N2CCN(C(=O)CN)CC2)c(C(C)C)c1,CHEMBL209841,=,=,nM,10500.0,uM,10.5,4.978810700930062
C[C@H]1CC[C@@H](Oc2cccc(-c3nc4cc(C(=N)N)c(F)cc4[nH]3)c2O)CC1,CHEMBL62509,=,=,nM,38000.0,uM,38.0,4.42021640338319
Nc1ccc2[nH]c(-c3cc(CC(=O)O)cc(-c4cccc([N+](=O)[O-])c4)c3O)cc2n1,CHEMBL377956,=,=,nM,3500.0,uM,3.5,5.455931955649724
Nc1noc2ccc(-n3nc(C(F)(F)F)c4c3C(=O)N(c3ccc(-c5ccccc5CN5CCNCC5)cc3)CC4)cc12,CHEMBL212202,=,=,nM,0.64,nM,0.64,9.193820026016112
FC(F)(CNc1nccc2oc(Cc3ccccc3-n3cnnn3)nc12)C1CCCCN1,CHEMBL198416,=,=,nM,11.0,nM,11.0,7.958607314841775
CC(C)N(Cc1ccncc1)C(=O)[C@H](C)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,CHEMBL373457,=,=,nM,6.0,nM,6.0,8.221848749616356
CC(C)N1C[C@H](C(=O)Nc2ccc(Cl)cn2)[C@@H](C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,CHEMBL1221915,=,=,nM,15.0,uM,0.015,7.823908740944319
N=C(N)c1ccc(-n2c3ccccc3c3ccc(OCc4ccc5ccc(C(=N)N)cc5c4)cc32)cc1,CHEMBL367166,=,=,nM,60.0,nM,60.0,7.221848749616356
Cc1ccccc1NC(=O)OCC(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1,CHEMBL604289,=,=,nM,1184.0,uM,1.184,5.926648297613099
N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3cc4ncccc4s3)C2=O)c1,CHEMBL85757,=,=,nM,26.0,nM,26.0,7.585026652029182
N=C(N)N1CCc2ccc(OC(C(=O)O)c3ccc(OC4CCOCC4)cc3)cc2C1,CHEMBL147707,=,=,nM,3000.0,uM,3.0,5.522878745280337
Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Cc3ccc(-n4ccccc4=O)cc3F)cc12,CHEMBL252454,=,=,nM,0.033,nM,0.033,10.481486060122112
COC(=O)CC1(C(=O)Nc2ccc(-c3cccc(S(N)(=O)=O)c3)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F,CHEMBL433369,=,=,nM,68.0,nM,68.0,7.167491087293763
COc1cccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)c1,CHEMBL330562,=,=,nM,3348.0,nM,3348.0,5.4752145506787775
CN(C)Cc1nccn1-c1ccc(N2CCCC(NS(=O)(=O)c3ccc4cc(Cl)ccc4c3)C2=O)c(F)c1,CHEMBL272349,=,=,nM,2.4,nM,2.4,8.619788758288394
O=C(Nc1cccc(OCc2ccc(-c3c(F)cc(F)cc3F)cc2)c1)C1CCNCC1,CHEMBL453359,=,=,nM,9470.0,uM,9.47,5.023650020996726
COc1ccc(-n2nc(C(N)=O)cc2C(=O)NC2CCN(N3CCOCC3=O)C2)cc1,CHEMBL5850430,=,=,nM,525.0,nM,525.0,6.279840696594043
N=C(N)c1ccc(CNC(=O)[C@@H]2CCC(=O)NCc3cccc(c3)CNC(=O)CC[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N2)cc1,CHEMBL2016866,=,=,nM,3430.0,nM,3430.0,5.464705879957229
Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)N3CCc4cc(-c5ccccc5S(N)(=O)=O)ccc43)cc12,CHEMBL399956,=,=,nM,2.7,nM,2.7,8.568636235841012
CN(C)Cc1nccn1-c1ccc(-n2c(=O)[nH]c3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3c2=O)c(F)c1,CHEMBL384140,=,=,nM,0.35,nM,0.35,9.455931955649724
CS(=O)(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](C(=O)Nc2c(F)cc(-n3ccccc3=O)cc2F)C1,CHEMBL1222284,=,=,nM,31.0,uM,0.031,7.508638306165727
O=C(N[C@@H]1CCC[C@@H]1NCc1ccc(-n2ccccc2=O)cc1)c1ccc(Cl)s1,CHEMBL233173,=,=,nM,4.2,nM,4.2,8.3767507096021
N=C(N)c1ccc2ccc(CN(CCCc3ccccc3)C(=O)c3cccc4ccccc34)cc2c1,CHEMBL195238,=,=,nM,632.0,nM,632.0,6.199282921717615
CCc1nc2c(NC(C)=O)c(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,CHEMBL280769,=,=,nM,50.0,nM,50.0,7.301029995663981
Nc1[nH]ccc2nc(CN3CCN(S(=O)(=O)c4cc5ccc(Cl)cc5s4)CC3=O)cc1-2,CHEMBL348778,=,=,nM,1022.0,nM,1022.0,5.990549104201306
COC(=O)Nc1ccc(S(=O)(=O)C(C)C)c([C@H]2CCCN2C(=O)[C@H](Nc2ccc3c(N)nccc3c2)c2ccc(F)c(OC)c2)c1,CHEMBL3114832,=,=,nM,6400.0,nM,6400.0,5.1938200260161125
CNC(=O)c1cccc(Oc2nc(Oc3cccc(C(=N)N)c3)c(F)c(C)c2F)c1,CHEMBL79735,=,=,nM,1300.0,nM,1300.0,5.886056647693163
N=C(N)c1cccc(Cn2c(C(=O)NCc3cc(F)cc(F)c3)cc3c(O)cccc32)c1,CHEMBL327562,=,=,nM,191.0,nM,191.0,6.718966632752273
N=C(N)c1ccc(O)c(CCCNC(=O)c2ccc(-c3ccccn3)s2)c1,CHEMBL68101,=,=,nM,131.0,nM,131.0,6.882728704344236
Nc1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)cc1,CHEMBL328654,=,=,nM,1554.0,nM,1554.0,5.808548985535104
CCCS(=O)(=O)N[C@@H](C(=O)N[C@@H](CCSC)C(=O)NCc1ccc(C(=N)N)cc1)[C@@H](C)CC,CHEMBL523575,=,=,nM,1500.0,nM,1500.0,5.823908740944319
Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccccc4CN4CC[C@H](O)C4)cc3F)cc12,CHEMBL381836,=,=,nM,0.53,nM,0.53,9.275724130399212
CS(=O)(=O)c1ccccc1-c1ccc2c(c1)CCN2C(=O)c1cc(C(F)(F)F)nn1-c1ccc2onc(N)c2c1,CHEMBL251762,=,=,nM,1.5,nM,1.5,8.823908740944319
O=C(Nc1cccc(OCc2ccccc2F)c1)C1CCN(c2ccncc2)CC1,CHEMBL2441055,=,=,nM,6830.0,uM,6.83,5.165579296318468
N=C(N)c1cccc(C(=O)N[C@@H](C(=O)NCC2CCC(CN)CC2)c2ccccc2)c1,CHEMBL417827,=,=,nM,220.0,nM,220.0,6.657577319177793
O=C(NCC1CCc2ncncc2C1)[C@@H]1CCCN1C(=O)[C@@H](CC1CCCCC1)NS(=O)(=O)Cc1ccccc1,CHEMBL165196,=,=,nM,111000.0,uM,111.0,3.9546770212133424
COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)NC2CCN(c3ccccc3S(C)(=O)=O)CC2)cc1,CHEMBL395196,=,=,nM,14.0,nM,14.0,7.853871964321762
N=C(N)c1ccc2[nH]c(-c3ccccn3)nc2c1,CHEMBL381148,=,=,nM,27.0,uM,0.027,7.568636235841013
Cc1c(F)c(Oc2cccc(C(=N)N)c2)nc(N2CCC(C)(c3ccccc3)CC2)c1F,CHEMBL417750,=,=,nM,560.0,nM,560.0,6.251811972993799
NC(=O)c1ccc(N2CC[C@H](NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,CHEMBL594515,=,=,nM,5.1,nM,5.1,8.292429823902063
COCCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,CHEMBL6172535,=,=,nM,102.0,nM,102.0,6.991399828238082
CCN(C(=O)c1cc(C(N)=O)nn1-c1ccc(OC)cc1)C1CCN(N2CCOCC2=O)CC1,CHEMBL5953215,=,=,nM,525.0,nM,525.0,6.279840696594043
N=C(N)c1ccc(CNC(=O)C2(NC(=O)[C@H](NCC(=O)O)C3CCCCC3)Cc3ccccc3C2)cc1,CHEMBL215295,=,=,nM,16000.0,uM,16.0,4.795880017344075
COc1cccc2c1cc(C(=O)NCc1ccc(C(=N)N)cc1)n2Cc1cccc(C(=N)N)c1,CHEMBL92244,=,=,nM,131.0,nM,131.0,6.882728704344236
COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NC(=O)CO2)c1Cl,CHEMBL226668,=,=,nM,0.026,nM,0.026,10.585026652029182
CC(=O)O.N=C(N)c1ccc(CNC[C@H]2CN(c3ccc(N4CCC(C(=O)O)CC4)cc3)C(=O)O2)cc1,CHEMBL2391198,=,=,nM,54100.0,uM,54.1,4.266802734893431
CN(C)CCN(C)Cc1csc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)c1Cl,CHEMBL390690,=,=,nM,0.45,nM,0.45,9.346787486224656
COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,CHEMBL159162,=,=,nM,340.0,uM,0.34,6.468521082957745
Cc1cn(-c2cccc(Oc3cc(C(=O)O)cc(Oc4cc(C(=N)N)ccc4O)n3)c2)cn1,CHEMBL79828,=,=,nM,13.0,nM,13.0,7.886056647693163
NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3cccs3)=NO2)cc1,CHEMBL50406,=,=,nM,1300.0,uM,1.3,5.886056647693163
N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,CHEMBL159418,=,=,nM,1.6,nM,1.6,8.795880017344075
Cc1c(F)c(Oc2cccc(C(=N)N)c2)nc(N2CCN(C3CCCCC3)CC2)c1F,CHEMBL56410,=,=,nM,495.0,nM,495.0,6.305394801066432
N=C(N)c1cccc(N2CCCCN(C3CCN(S(=O)(=O)c4ccccc4N)CC3)C2=O)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CHEMBL1160791,=,=,nM,34.0,nM,34.0,7.468521082957745
N=C(N)c1ccc2scc(C(Cc3ccccc3)C(=O)Nc3ccc(Oc4ccccc4)cc3)c2c1.O=C(O)C(F)(F)F,CHEMBL367575,=,=,nM,450.0,uM,0.45,6.346787486224656
CS(=O)(=O)c1ccccc1-c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)c(OCC(=O)O)c1,CHEMBL455932,=,=,nM,5.0,nM,5.0,8.301029995663981
COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3C(=O)OC)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F,CHEMBL329568,=,=,nM,53.0,nM,53.0,7.275724130399211
N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4cccnc4)CC3)C2=O)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CHEMBL1160794,=,=,nM,670.0,nM,670.0,6.173925197299173
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(C4(CC(N)=O)CC4)cc2)CC3)cc1.O=C(O)C(F)(F)F,CHEMBL464756,=,=,nM,0.36,nM,0.36,9.443697499232712
COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)S(C)(=O)=O)c1Cl,CHEMBL227307,=,=,nM,0.045,nM,0.045,10.346787486224656
